# Standard streams
stdin   1
stdout  1
stderr  1

# Programming languages
c   1
cpp 1
java    1
python  1
javascript  1
typescript  1
rust    1
golang  1
ruby    1
perl    1
php 1
swift   1
kotlin  1
scala   1
haskell 1
erlang  1
elixir  1
clojure 1
lisp    1
scheme  1
ocaml   1
fortran 1
cobol   1
ada 1
pascal  1
lua 1
julia   1
dart    1
groovy  1
bash    1
powershell  1
awk 1
sed 1

# Web technologies
html    1
css 1
javascript  1
typescript  1
jsx 1
tsx 1
json    1
xml 1
yaml    1
toml    1
svg 1
webgl   1
wasm    1
webassembly 1

# Web protocols & APIs
http    1
https   1
http2   1
http3   1
websocket   1
grpc    1
rest    1
restful 1
soap    1
graphql 1
jsonrpc 1
xmlrpc  1
ajax    1
cors    1
csrf    1
xss 1
jwt 1
oauth   1
saml    1
openid  1
oidc    1

# Networking
tcp 1
udp 1
ip  1
ipv4    1
ipv6    1
icmp    1
igmp    1
dns 1
dhcp    1
nat 1
vpn 1
ssl 1
tls 1
ssh 1
telnet  1
ftp 1
sftp    1
ftps    1
scp 1
rsync   1
nfs 1
smb 1
cifs    1
smtp    1
pop 1
pop3    1
imap    1
mime    1
nntp    1
snmp    1
ldap    1
kerberos    1
radius  1

# Internet & URLs
url 1
uri 1
urn 1
fqdn    1
tld 1
cdn 1
wan 1
lan 1
vlan    1
cidr    1
mac 1
arp 1
rarp    1
bgp 1
ospf    1
rip 1
mpls    1

# Databases
sql 1
nosql   1
mysql   1
postgresql  1
postgres    1
sqlite  1
mariadb 1
mongodb 1
redis   1
memcached   1
elasticsearch   1
cassandra   1
couchdb 1
neo4j   1
influxdb    1
clickhouse  1
timescaledb 1
dynamodb    1
firestore   1
orm 1
odbc    1
jdbc    1
crud    1
acid    1
base    1
cap 1
oltp    1
olap    1
etl 1
ddl 1
dml 1
dcl 1
tcl 1

# Version control
git 1
svn 1
subversion  1
cvs 1
mercurial   1
hg  1
perforce    1
bzr 1
bazaar  1
diff    1
patch   1
merge   1
rebase  1
cherry-pick 1
bisect  1

# Build tools & package managers
make    1
cmake   1
autoconf    1
automake    1
ninja   1
gradle  1
maven   1
ant 1
npm 1
yarn    1
pnpm    1
pip 1
conda   1
gem 1
bundler 1
cargo   1
composer    1
nuget   1
apt 1
yum 1
dnf 1
pacman  1
brew    1
homebrew    1
chocolatey  1
vcpkg   1
conan   1

# Compilers & interpreters
gcc 1
clang   1
llvm    1
msvc    1
icc 1
javac   1
jvm 1
jit 1
aot 1
nodejs  1
deno    1
bun 1

# Debugging & profiling
gdb 1
lldb    1
valgrind    1
strace  1
ltrace  1
dtrace  1
perf    1
gprof   1
callgrind   1
heaptrack   1
sanitizer   1
asan    1
msan    1
tsan    1
ubsan   1

# Testing
tdd 1
bdd 1
atdd    1
unittest    1
pytest  1
jest    1
mocha   1
chai    1
junit   1
testng  1
rspec   1
cucumber    1
selenium    1
cypress 1
puppeteer   1
playwright  1

# CI/CD
cicd    1
jenkins 1
gitlab  1
github  1
bitbucket   1
travis  1
circleci    1
bamboo  1
teamcity    1
drone   1
concourse   1
argo    1
flux    1
spinnaker   1

# Containers & orchestration
docker  1
dockerfile  1
podman  1
containerd  1
runc    1
kubernetes  1
k8s 1
kubectl 1
helm    1
kustomize   1
openshift   1
rancher 1
nomad   1
mesos   1
swarm   1

# Cloud platforms
aws 1
azure   1
gcp 1
cloudflare  1
heroku  1
digitalocean    1
linode  1
vultr   1
ovh 1
ec2 1
s3  1
rds 1
lambda  1
ecs 1
eks 1
fargate 1
cloudfront  1
route53 1
sqs 1
sns 1
kinesis 1
dynamodb    1
elasticache 1
cloudwatch  1

# Infrastructure as Code
terraform   1
ansible 1
puppet  1
chef    1
saltstack   1
cloudformation  1
pulumi  1
vagrant 1
packer  1

# Operating systems
linux   1
unix    1
bsd 1
freebsd 1
openbsd 1
netbsd  1
macos   1
osx 1
windows 1
dos 1
minix   1
solaris 1
aix 1
hpux    1
qnx 1

# Linux distributions
debian  1
ubuntu  1
fedora  1
redhat  1
rhel    1
centos  1
rocky   1
alma    1
almalinux   1
arch    1
manjaro 1
gentoo  1
slackware   1
opensuse    1
suse    1
alpine  1
nixos   1
void    1

# Shells
bash    1
zsh 1
fish    1
sh  1
csh 1
tcsh    1
ksh 1
dash    1
busybox 1

# Text editors & IDEs
vim 1
nvim    1
neovim  1
emacs   1
nano    1
pico    1
vi  1
ed  1
sublime 1
vscode  1
atom    1
intellij    1
pycharm 1
webstorm    1
eclipse 1
netbeans    1
xcode   1

# Encodings & character sets
ascii   1
utf8    1
utf16   1
utf32   1
unicode 1
latin1  1
iso8859 1
ebcdic  1
base64  1
hex 1
octal   1
binary  1

# Compression & archives
gzip    1
bzip2   1
xz  1
lzma    1
zstd    1
lz4 1
zip 1
rar 1
tar 1
tgz 1
tbz 1
txz 1

# Cryptography
rsa 1
dsa 1
ecdsa   1
ed25519 1
aes 1
des 1
3des    1
blowfish    1
twofish 1
chacha20    1
md5 1
sha1    1
sha256  1
sha512  1
blake2  1
argon2  1
bcrypt  1
scrypt  1
pbkdf2  1
hmac    1
pgp 1
gpg 1
openpgp 1
x509    1
pkcs    1
pem 1
der 1

# Filesystems
ext2    1
ext3    1
ext4    1
xfs 1
btrfs   1
zfs 1
ntfs    1
fat 1
fat32   1
exfat   1
hfs 1
apfs    1
jfs 1
reiserfs    1
f2fs    1
tmpfs   1
ramfs   1
procfs  1
sysfs   1
devfs   1
cgroups 1

# Storage & partitioning
raid    1
raid0   1
raid1   1
raid5   1
raid6   1
raid10  1
lvm 1
mdadm   1
luks    1
dm-crypt    1
mbr 1
gpt 1
uefi    1
bios    1
efi 1
grub    1
lilo    1
syslinux    1

# Hardware
cpu 1
gpu 1
ram 1
rom 1
ssd 1
hdd 1
nvme    1
sata    1
pcie    1
usb 1
hdmi    1
displayport 1
thunderbolt 1
ethernet    1
wifi    1
bluetooth   1
nfc 1

# Standards & specifications
posix   1
ansi    1
iso 1
iec 1
ieee    1
rfc 1
w3c 1
ecma    1
ietf    1
ieee754 1

# Protocols & formats
mime    1
iana    1
asn1    1
der 1
ber 1
protobuf    1
msgpack 1
avro    1
thrift  1
capnproto   1
flatbuffers 1
cbor    1
bson    1
ubjson  1

# Regular expressions & parsing
regex   1
regexp  1
pcre    1
glob    1
lex 1
yacc    1
bison   1
flex    1
antlr   1
peg 1
bnf 1
ebnf    1
ast 1
cfg 1

# System calls & APIs
syscall 1
ioctl   1
fcntl   1
mmap    1
malloc  1
calloc  1
realloc 1
free    1
fork    1
exec    1
waitpid 1
signal  1
sigaction   1
epoll   1
kqueue  1
select  1
poll    1
dup 1
pipe    1
fifo    1
socket  1
bind    1
listen  1
accept  1
connect 1
send    1
recv    1
read    1
write   1
open    1
close   1
stat    1
fstat   1
lstat   1
chmod   1
chown   1
umask   1

# Memory & performance
heap    1
stack   1
bss 1
rodata  1
cache   1
tlb 1
mmu 1
dma 1
simd    1
sse 1
avx 1
neon    1
vfp 1
mutex   1
semaphore   1
spinlock    1
rwlock  1
atomic  1
cas 1
tls 1
numa    1

# Virtualization
kvm 1
qemu    1
xen 1
vmware  1
virtualbox  1
vbox    1
hyperv  1
hypervisor  1
paravirtualization  1
vtx 1
svm 1

# Monitoring & logging
syslog  1
rsyslog 1
journald    1
logrotate   1
prometheus  1
grafana 1
datadog 1
newrelic    1
splunk  1
elk 1
efk 1
fluentd 1
logstash    1
kibana  1
telegraf    1
influxdb    1
nagios  1
zabbix  1
icinga  1
cacti   1
munin   1

# Design patterns & architectures
mvc 1
mvp 1
mvvm    1
mvt 1
spa 1
mpa 1
ssr 1
csr 1
ssg 1
isr 1
rest    1
microservices   1
monolith    1
soa 1
eda 1
cqrs    1
eventsourcing   1
ddd 1
hexagonal   1
onion   1
clean   1
solid   1
dry 1
kiss    1
yagni   1
grasp   1

# Authentication & authorization
authn   1
authz   1
rbac    1
abac    1
dac 1
mac 1
acl 1
pam 1
nis 1
ldap    1
activedirectory 1
sso 1
mfa 1
2fa 1
totp    1
hotp    1
u2f 1
fido    1
webauthn    1

# Message queues & streaming
kafka   1
rabbitmq    1
amqp    1
mqtt    1
stomp   1
zeromq  1
nats    1
pulsar  1
activemq    1
redis   1
celery  1
sidekiq 1
resque  1

# Identifiers
uuid    1
guid    1
ulid    1
nanoid  1
ksuid   1
cuid    1
snowflake   1

# Miscellaneous
cli 1
gui 1
tui 1
repl    1
tty 1
pty 1
ansi    1
vt100   1
terminfo    1
termcap 1
locale  1
i18n    1
l10n    1
a11y    1
ux  1
ui  1
api 1
sdk 1
ide 1
linter  1
formatter   1
transpiler  1
bundler 1
minifier    1
obfuscator  1
decompiler  1
disassembler    1
debugger    1
profiler    1
tracer  1
fuzzer  1
sanitizer   1
static  1
dynamic 1
jit 1
aot 1
interpreter 1
compiler    1
assembler   1
linker  1
loader  1
elf 1
pe  1
coff    1
mach-o  1
dwarf   1
pdb 1
coredump    1
backtrace   1
stacktrace  1
